Type,                        Txhash,                        BlockTime Unix,                        BlockTime,                        Fee (SOL),                        TokenAccount,                        ChangeType,                        SPL BalanceChange,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenName(off-chain),                        Symbol(off-chain),                        SolTransfer Source,                        SolTransfer Destination,                        Amount (SOL)
TokenChange,3z1YQTE8jng9dwowMtUkPmx5gJs8UwzvxMo3u1NnMgDX8aHwjEZ5RGtSd3Pvq2jpA11nd1TYVPp25FWQd7YSeqvN,1710881035,2024-03-19T20:43:55,0.00025,4fKX2Ytrq2B4stz962P7aA8Kg4oWZFGipbcWg2GqHCAL,dec,-101636.745331408,101636.745331408,0,8wXtPeU6557ETkp9WHFY1n1EcU6NxDvbAggHGsMYiHsB,GameStop,,,,
TokenChange,3rKsBN6k119GX7QFfg5Nqq2ki1rsuj2SJpxcMVZgd366bnJEF4t5s4bGsyZH1SmXXQq1u8k1bmrTX4UvbQtw3taM,1710880963,2024-03-19T20:42:43,0.00025,A98pQNUEBzTjW5HboBV7fjUA7Qio3Fxpt9WjFiMD8J2K,dec,-4143713,4143713,0,8Qrc2pf9p24NyJVG1FagnqJXwKw6h5L5McxnMfJoUxev,Emmy,,,,
TokenChange,2fqtHkHUxx1JY7eYKfdvgNuqezjNYLuxa6n7zKdVKBdvPkfHaHEjxVciU1nZ483T9U6iLzTRzVMuGUG8vJyHeHnJ,1710880921,2024-03-19T20:42:01,0.000025,FWiEeFZeF3a9hYvwKZfr4Tk2SyYUJkn1gp1WCWUgdg37,closedAccount,14.39,14.39,,So11111111111111111111111111111111111111112,Wrapped SOL,,,,
TokenChange,66bf5mqYtMypazG7MkWhRWMVgQ7qSuLp3wesRJTtATU4Gh3XYb5KY7ZbBEy66LLt18WVRwuRkaZBVM531nU1pbpi,1710859533,2024-03-19T14:45:33,0.000054,FWiEeFZeF3a9hYvwKZfr4Tk2SyYUJkn1gp1WCWUgdg37,inc,1,13.39,14.39,So11111111111111111111111111111111111111112,Wrapped SOL,,,,
TokenChange,2SEFk83jnYPoDJpA5j2q1MPS8qwTpVwFn5bkGzzdYVQfBwb8drR9bi3RjtMwrGW8h3sqgvoUcpxegQpLpiPTHcBw,1710850108,2024-03-19T12:08:28,0.000025,DiYZzvRuzx8hG5fNbMRkqPtwZPpDwK2jF1zT1BRmv7Ru,inc,475568056.3468019,,475568056.3468019,6ZzqmqbED2uGDd1mivMxTC3TbgvgKyxV7YSQKzdvsShs,Adulf Hidlur,,,,
TokenChange,4aowPp2XS3fLSUQUqvrbhyMdWNq5hWfxRvxVvb2uST3XZ27LxGC8BxcDrp6h9bCdAC1nMoQ6m5RTrVqB8gTfZbBS,1710810336,2024-03-19T01:05:36,0.000025,ETePGXQBzkHWfR3V6Q2W4WhdRD9cLUv7mVbHS5uB11i5,inc,1925478.254477505,,1925478.254477505,7gHC2sDmQ9PuTMDoMrT2v7tqgJDr9QeGatcjzP1r35aq,i fukd up,,,,
TokenChange,oeGg67DPbxAVjAjWzKSWCHhikWUv5y8JP8kVCzhSKCf64cyZcXHZ7hirKBSDMTSAKbMjt3VAWZXepjju43QGfgB,1710805444,2024-03-18T23:44:04,0.000025,8H2UZvSwML9ekc1w7Ea7ENKaGsMogJwrMZnMZbJ6aY6b,inc,69,,69,6d5ewXmKqEPYKfc1ULReDzbcT7YHVtfdWcoWrrsDJ1Te,Adolf Hitler,,,,
TokenChange,3HZurn3dmHfkMJGz1rRNvbq7PkRXNopsJLHSMDobSyUF1AZtkYaWGSuKZMEaAEJKAkPKbPVVGn62Pqh1pxc4rscU,1710795831,2024-03-18T21:03:51,0.000103,9NMLeMJMAt3rQ2AuUskajUB8tuUSoztJDv9C7RTHevcZ,inc,10000,,10000,mNZKwsioxgYL8sEpQSQ3TqCgdYGiDP68F5ektNG3427,RUFUS,,,,
TokenChange,RMWwVqHi2fnsgy52nMehcDHKTePuNTPQZr8xrTCnmf9mUoHQBDE8FV6AW23r6BRuTHXrggz5eAMaqPbHcA1WnSc,1710790744,2024-03-18T19:39:04,0.000025,6PXJLGiBVCcKbrdBtUm9tgqJX4FhiUMw94wr9xrQWf3S,inc,500,,500,DoxsC4PpVHiUxCKYeKSkPXVVVSJYzidZZJxW4XCFF2t,Bonk of America,,,,
TokenChange,5bLQydmbCKBdquV8BZwSVxfzcHkQ7qFJCSo9ak7Z8RhyEyWJRyPG78WBcdArSCUsmh6S3L5kXPL2RDpw3BXEBfJu,1710787459,2024-03-18T18:44:19,0.000025,AvzTAY5GzpzstcyGBSTDrpkCY2C7avvrfCk3xbP1WFpV,inc,20000000,,20000000,FP31i6dW3N2gHaWG71NQGy2dJQDKuoij9rBpUsMAcuRu,Bonked,,,,
TokenChange,2vckLSqkmyo76TckAJHtS75E5PPTZ9DjTWe4KHRo4HJY7Pvw1z5EcfP5MAYjaCu5mqwnRjeS6w7aMRdpVvsUV6pT,1710780566,2024-03-18T16:49:26,0.000025,2cVNdZhe1cxEyp8x1N2QKNqvVe3Xr295XL5HoWvytcee,inc,52735.079766,,52735.079766,4QPmhve6tTMbdyVsCC4kD2jxH4ijMMqYz6tyFbhUZ2MP,SNAP,,,,
TokenChange,5XRUDpB589ji2teEAPq7FBCF873CEV92LQbvadTgqP3wbiNRVfkLQGHWXZ8befMSSEw7G9o8GW3rgRfiUW995L7c,1710776391,2024-03-18T15:39:51,0.000103,Ba7dB6eKJhocZmqUdyGiqEhSpYbXWpsob9z8zPDoTt21,inc,1e-9,,1e-9,AFyNc7eNC5Bjof9jP3aM643YToZtRJCzhTjmgzsux4oG,BOME,,,,
TokenChange,fECr5D1EPc5i3B4dx4gQT9rXFjUJrKgMyYvF14FNUMM11Fx3XSW9p4ehWvyWf6bAKnAeHudYg1Yjem4wPpZSgbF,1710741457,2024-03-18T05:57:37,0.000025,FWiEeFZeF3a9hYvwKZfr4Tk2SyYUJkn1gp1WCWUgdg37,inc,13.39,,13.39,So11111111111111111111111111111111111111112,Wrapped SOL,,,,
